Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.0,1.974,0.026,8376,3.10.4
C++,0.78,0.109,0.671,67408,11.2.0
Javascript,0.21,0.15,0.06,36700,17.9.0
Typescript,0.14,0.116,0.024,36908,1.20.5
Java,1.53,0.089,1.441,84772,18
C#,2.42,0.09,2.33,139928,6.0.2
Total (6),2.452,2.528,4.552,374092,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.19,0.017,0.173,66056,3.8.13
C++,0.86,0.0,0.86,86060,11.2.0
Javascript,0.13,0.017,0.113,36828,17.9.0
Typescript,0.09,0.011,0.079,32888,1.20.5
Java,1.15,0.01,1.14,83924,18
C#,2.05,0.012,2.038,133372,6.0.2
Total (6),2.089,0.068,4.402,439128,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.68,1.661,0.019,8548,3.10.4
C++,0.56,0.071,0.489,67408,11.2.0
Javascript,0.15,0.101,0.049,36724,17.9.0
Typescript,0.12,0.101,0.019,36924,1.20.5
Java,0.98,0.084,0.896,77064,18
C#,1.88,0.089,1.791,138720,6.0.2
Total (6),5.423,2.108,3.262,365388,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.06,2.022,0.038,8532,3.10.4
C++,0.73,0.122,0.608,67424,11.2.0
Javascript,0.31,0.228,0.082,36696,17.9.0
Typescript,0.18,0.14,0.04,36752,1.20.5
Java,1.69,0.086,1.604,87344,18
C#,2.67,0.09,2.58,140164,6.0.2
Total (6),2.704,2.689,4.951,376912,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.12,0.008,0.112,65988,3.8.13
C++,0.83,0.0,0.83,86064,11.2.0
Javascript,0.08,0.011,0.069,36928,17.9.0
Typescript,0.05,0.018,0.032,32840,1.20.5
Java,1.21,0.011,1.199,74032,18
C#,2.18,0.011,2.169,140020,6.0.2
Total (6),2.215,0.059,4.411,435872,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.58,2.556,0.024,8552,3.10.4
C++,0.81,0.102,0.708,67468,11.2.0
Javascript,0.2,0.112,0.088,36592,17.9.0
Typescript,0.23,0.184,0.046,35700,1.20.5
Java,1.84,0.113,1.727,84096,18
C#,3.6,0.091,3.509,145068,6.0.2
Total (6),3.632,3.158,6.102,377476,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.11,0.01,0.1,65944,3.8.13
C++,0.92,0.0,0.92,86060,11.2.0
Javascript,0.07,0.01,0.06,36532,17.9.0
Typescript,0.04,0.006,0.034,32512,1.20.5
Java,1.39,0.011,1.379,84896,18
C#,2.41,0.011,2.399,135668,6.0.2
Total (6),2.436,0.048,4.892,441612,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.77,1.75,0.02,8712,3.10.4
C++,0.55,0.071,0.479,67428,11.2.0
Javascript,0.15,0.1,0.05,36624,17.9.0
Typescript,0.12,0.102,0.018,35784,1.20.5
Java,0.89,0.083,0.807,85920,18
C#,1.9,0.097,1.803,138092,6.0.2
Total (6),5.439,2.202,3.178,372560,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.1,0.008,0.092,66048,3.8.13
C++,0.69,0.0,0.69,86020,11.2.0
Javascript,0.05,0.008,0.042,36860,17.9.0
Typescript,0.02,0.006,0.014,32748,1.20.5
Java,0.81,0.011,0.799,86276,18
C#,1.95,0.012,1.938,129232,6.0.2
Total (6),3.678,0.044,3.576,437184,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.15,2.131,0.019,8524,3.10.4
C++,0.54,0.072,0.468,67420,11.2.0
Javascript,0.16,0.105,0.055,36756,17.9.0
Typescript,0.13,0.102,0.028,37256,1.20.5
Java,0.88,0.084,0.796,84660,18
C#,1.88,0.089,1.791,140196,6.0.2
Total (6),5.8,2.583,3.157,374812,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.1,0.007,0.093,66044,3.8.13
C++,0.68,0.0,0.68,86072,11.2.0
Javascript,0.05,0.009,0.041,36496,17.9.0
Typescript,0.03,0.006,0.024,33288,1.20.5
Java,0.79,0.01,0.78,86904,18
C#,1.83,0.011,1.819,134996,6.0.2
Total (6),3.53,0.043,3.437,443800,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
C#,1.92,0.09,1.83,139616,6.0.2
Python,2.25,2.231,0.019,8672,3.10.4
C++,0.61,0.071,0.539,67452,11.2.0
Javascript,0.15,0.101,0.049,36608,17.9.0
Typescript,0.12,0.102,0.018,36024,1.20.5
Java,0.88,0.084,0.796,85936,18
Total (6),5.989,2.678,3.252,374308,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
C#,1.84,0.011,1.829,134444,6.0.2
Total (1),1.847,0.011,1.829,134444,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
C#,1.92,0.089,1.831,137868,6.0.2
Python,1.89,1.871,0.019,8552,3.10.4
C++,0.54,0.071,0.469,67412,11.2.0
Javascript,0.15,0.101,0.049,36456,17.9.0
Typescript,0.12,0.103,0.017,37324,1.20.5
Java,0.9,0.083,0.817,84944,18
Total (6),5.573,2.318,3.202,372556,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
C#,1.8,0.011,1.789,132376,6.0.2
Python,0.09,0.008,0.082,65992,3.8.13
C++,0.68,0.0,0.68,85884,11.2.0
Javascript,0.05,0.008,0.042,36836,17.9.0
Typescript,0.02,0.006,0.014,33032,1.20.5
Java,0.77,0.01,0.76,86140,18
Total (6),3.468,0.043,3.367,440260,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.75,2.721,0.029,8372,3.10.4
C++,0.84,0.182,0.658,67452,11.2.0
Javascript,0.19,0.111,0.079,36400,17.9.0
Typescript,0.17,0.145,0.025,37348,1.20.5
Java,1.79,0.103,1.687,85476,18
C#,2.62,0.091,2.529,138552,6.0.2
Total (6),2.757,3.353,5.007,373600,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.73,1.71,0.02,8620,3.10.4
C++,0.54,0.071,0.469,67436,11.2.0
Javascript,0.17,0.109,0.061,36756,17.9.0
Typescript,0.12,0.104,0.016,36576,1.20.5
Java,0.87,0.083,0.787,85580,18
C#,1.88,0.09,1.79,139224,6.0.2
Total (6),5.374,2.168,3.142,374192,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.007,0.083,65944,3.8.13
C++,0.67,0.0,0.67,86112,11.2.0
Javascript,0.05,0.009,0.041,36496,17.9.0
Typescript,0.02,0.006,0.014,33648,1.20.5
Java,0.8,0.01,0.79,86276,18
C#,1.81,0.011,1.799,131964,6.0.2
Total (6),3.504,0.043,3.397,440440,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.99,1.97,0.02,8376,3.10.4
C++,0.55,0.071,0.479,67372,11.2.0
Javascript,0.15,0.103,0.047,36788,17.9.0
Typescript,0.12,0.103,0.017,37164,1.20.5
Java,0.88,0.084,0.796,84668,18
C#,1.92,0.09,1.83,140152,6.0.2
Total (6),5.658,2.422,3.188,374520,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.007,0.083,65988,3.8.13
C++,0.69,0.0,0.69,86080,11.2.0
Javascript,0.05,0.009,0.041,36872,17.9.0
Typescript,0.03,0.006,0.024,33048,1.20.5
Java,0.83,0.011,0.819,85476,18
