Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.007,0.083,65924,3.8.13
C++,0.67,0.0,0.67,85976,11.2.0
Javascript,0.05,0.009,0.041,36512,17.9.0
Typescript,0.02,0.005,0.015,32412,1.20.5
Java,0.83,0.011,0.819,77568,18
C#,1.86,0.011,1.849,138288,6.0.2
Total (6),3.577,0.043,3.477,436680,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.39,2.372,0.018,8664,3.10.4
C++,0.71,0.077,0.633,67432,11.2.0
Javascript,0.19,0.118,0.072,36424,17.9.0
Typescript,0.15,0.114,0.036,36216,1.20.5
Java,1.57,0.097,1.473,85184,18
C#,2.36,0.089,2.271,129260,6.0.2
Total (6),2.404,2.867,4.503,363180,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.13,0.017,0.113,65628,3.8.13
C++,0.97,0.0,0.97,86072,11.2.0
Javascript,0.17,0.013,0.157,36292,17.9.0
Typescript,0.04,0.007,0.033,33372,1.20.5
Java,1.28,0.011,1.269,87240,18
C#,2.24,0.011,2.229,135156,6.0.2
Total (6),2.281,0.059,4.771,443760,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.04,2.02,0.02,8448,3.10.4
C++,0.58,0.079,0.501,67464,11.2.0
Javascript,0.15,0.104,0.046,36568,17.9.0
Typescript,0.13,0.105,0.025,35940,1.20.5
Java,1.25,0.095,1.155,95964,18
C#,2.29,0.089,2.201,129340,6.0.2
Total (6),6.502,2.492,3.948,373724,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.1,0.008,0.092,65788,3.8.13
C++,0.7,0.0,0.7,85992,11.2.0
Javascript,0.05,0.009,0.041,36528,17.9.0
Typescript,0.02,0.006,0.014,32176,1.20.5
Java,1.2,0.014,1.186,83792,18
C#,2.28,0.012,2.268,138292,6.0.2
Total (6),4.422,0.048,4.302,442568,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.11,2.071,0.039,8496,3.10.4
C++,0.71,0.091,0.619,67420,11.2.0
Javascript,0.25,0.175,0.075,36788,17.9.0
Typescript,0.21,0.158,0.052,36668,1.20.5
Java,1.54,0.087,1.453,85136,18
C#,2.33,0.09,2.24,131588,6.0.2
Total (6),2.348,2.673,4.477,366096,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.14,0.009,0.131,66200,3.8.13
C++,0.93,0.0,0.93,86016,11.2.0
Javascript,0.12,0.011,0.109,36308,17.9.0
Typescript,0.05,0.006,0.044,33788,1.20.5
Java,1.29,0.011,1.279,75776,18
C#,2.21,0.011,2.199,144128,6.0.2
Total (6),2.241,0.048,4.692,442216,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.15,2.128,0.022,8716,3.10.4
C++,0.55,0.072,0.478,67464,11.2.0
Javascript,0.15,0.102,0.048,36232,17.9.0
Typescript,0.12,0.104,0.016,36760,1.20.5
Java,0.92,0.085,0.835,84780,18
C#,1.91,0.091,1.819,138508,6.0.2
Total (6),5.857,2.582,3.218,372460,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.71,2.675,0.035,8712,3.10.4
C++,0.79,0.127,0.663,67452,11.2.0
Javascript,0.27,0.188,0.082,36340,17.9.0
Typescript,0.21,0.169,0.041,35992,1.20.5
Java,1.76,0.097,1.663,76328,18
C#,2.8,0.092,2.708,140184,6.0.2
Total (6),2.821,3.349,5.191,365008,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.11,0.008,0.102,65628,3.8.13
C++,1.0,0.0,1.0,85996,11.2.0
Javascript,0.08,0.011,0.069,36284,17.9.0
Typescript,0.06,0.007,0.053,32940,1.20.5
Java,1.47,0.012,1.458,75196,18
C#,2.45,0.011,2.439,128644,6.0.2
Total (6),2.485,0.05,5.12,424688,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.32,2.289,0.031,8700,3.10.4
C++,1.07,0.193,0.877,67476,11.2.0
Javascript,0.19,0.12,0.07,36424,17.9.0
Typescript,0.18,0.13,0.05,36188,1.20.5
Java,2.06,0.089,1.971,85224,18
C#,3.04,0.092,2.948,138928,6.0.2
Total (6),3.062,2.913,5.947,372940,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.13,0.008,0.122,66084,3.8.13
C++,0.88,0.0,0.88,86032,11.2.0
Javascript,0.1,0.01,0.09,36444,17.9.0
Typescript,0.04,0.006,0.034,33732,1.20.5
Java,1.18,0.011,1.169,78816,18
C#,2.05,0.011,2.039,132144,6.0.2
Total (6),2.089,0.046,4.334,433252,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.99,1.965,0.025,8720,3.10.4
C++,0.56,0.072,0.488,67360,11.2.0
Javascript,0.15,0.104,0.046,36392,17.9.0
Typescript,0.13,0.105,0.025,35796,1.20.5
Java,0.94,0.084,0.856,84432,18
C#,1.96,0.09,1.87,140360,6.0.2
Total (6),5.782,2.419,3.311,373060,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.007,0.083,66000,3.8.13
C++,0.69,0.0,0.69,85908,11.2.0
Javascript,0.05,0.009,0.041,36564,17.9.0
Typescript,0.03,0.006,0.024,33664,1.20.5
Java,0.84,0.011,0.829,86144,18
C#,1.82,0.011,1.809,132168,6.0.2
Total (6),3.572,0.044,3.476,440448,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.69,1.669,0.021,8716,3.10.4
C++,0.55,0.074,0.476,67476,11.2.0
Javascript,0.15,0.101,0.049,36452,17.9.0
Typescript,0.12,0.102,0.018,36960,1.20.5
Java,0.9,0.084,0.816,85904,18
C#,1.94,0.089,1.851,140132,6.0.2
Total (6),5.403,2.119,3.231,375640,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.008,0.082,66228,3.8.13
C++,0.68,0.0,0.68,86096,11.2.0
Javascript,0.05,0.008,0.042,36572,17.9.0
Typescript,0.03,0.006,0.024,34004,1.20.5
Java,0.82,0.01,0.81,86548,18
C#,1.84,0.011,1.829,140004,6.0.2
Total (6),3.567,0.043,3.467,449452,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.19,2.171,0.019,8716,3.10.4
C++,0.54,0.072,0.468,67524,11.2.0
Javascript,0.15,0.101,0.049,36344,17.9.0
Typescript,0.12,0.102,0.018,36412,1.20.5
Java,0.9,0.083,0.817,85112,18
C#,1.89,0.09,1.8,133036,6.0.2
Lua,0.4,0.397,0.003,3564,5.4
Total (7),6.247,3.016,3.174,370708,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.09,0.008,0.082,66084,3.8.13
C++,0.68,0.0,0.68,86172,11.2.0
Javascript,0.05,0.009,0.041,36572,17.9.0
Typescript,0.03,0.006,0.024,33020,1.20.5
Java,0.82,0.01,0.81,86468,18
C#,1.83,0.011,1.819,144612,6.0.2
Lua,0.0,0.002,-0.002,3652,5.4
Total (7),3.565,0.045,3.455,456580,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.04,2.022,0.018,8384,3.10.4
C++,0.55,0.072,0.478,67508,11.2.0
Javascript,0.15,0.102,0.048,36420,17.9.0
Typescript,0.12,0.103,0.017,36496,1.20.5
Java,0.9,0.086,0.814,85992,18
C#,1.89,0.09,1.8,130448,6.0.2
Lua,0.4,0.398,0.002,3636,5.4
Total (7),6.121,2.874,3.176,368884,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.1,0.007,0.093,65992,3.8.13
C++,0.69,0.0,0.69,86240,11.2.0
Javascript,0.05,0.008,0.042,36692,17.9.0
Typescript,0.03,0.006,0.024,32672,1.20.5
Java,0.96,0.011,0.949,84224,18
C#,1.82,0.011,1.809,144388,6.0.2
Lua,0.0,0.002,-0.002,3588,5.4
Total (7),3.712,0.045,3.605,453796,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.23,2.193,0.037,8560,3.10.4
C++,0.82,0.077,0.743,67556,11.2.0
Javascript,0.27,0.174,0.096,36192,17.9.0
Typescript,0.24,0.198,0.042,36488,1.20.5
Java,1.62,0.089,1.531,78988,18
C#,2.47,0.09,2.38,133784,6.0.2
Lua,0.63,0.4,0.23,3588,5.4
Total (7),2.49,3.221,5.059,365156,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.13,0.008,0.122,65560,3.8.13
C++,0.82,0.0,0.82,86280,11.2.0
Javascript,0.1,0.011,0.089,36576,17.9.0
Typescript,0.07,0.016,0.054,32664,1.20.5
Java,1.19,0.01,1.18,76028,18
C#,2.21,0.011,2.199,134372,6.0.2
Lua,0.01,0.002,0.008,3520,5.4
Total (7),2.241,0.059,4.471,435000,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.27,2.209,0.061,8560,3.10.4
C++,1.05,0.085,0.965,67560,11.2.0
Javascript,0.4,0.262,0.138,36108,17.9.0
Typescript,0.31,0.228,0.082,36340,1.20.5
Java,1.77,0.085,1.685,85848,18
C#,2.67,0.107,2.563,134780,6.0.2
Lua,0.64,0.4,0.24,3604,5.4
Total (7),2.727,3.376,5.734,372800,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.2,0.009,0.191,66108,3.8.13
C++,0.96,0.0,0.96,86312,11.2.0
Javascript,0.13,0.01,0.12,36260,17.9.0
Typescript,0.09,0.012,0.078,32712,1.20.5
Java,1.29,0.011,1.279,77460,18
C#,2.26,0.012,2.248,138728,6.0.2
Lua,0.02,0.002,0.018,3640,5.4
Total (7),2.321,0.056,4.894,441220,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,1.71,1.691,0.019,8332,3.10.4
C++,0.55,0.072,0.478,67572,11.2.0
Javascript,0.15,0.102,0.048,36232,17.9.0
Typescript,0.12,0.102,0.018,35564,1.20.5
Java,0.88,0.085,0.795,86032,18
C#,1.97,0.09,1.88,130808,6.0.2
Lua,0.4,0.396,0.004,3700,5.4
Total (7),5.839,2.538,3.242,368240,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.1,0.008,0.092,65760,3.8.13
C++,0.69,0.0,0.69,86240,11.2.0
Javascript,0.05,0.008,0.042,36604,17.9.0
Typescript,0.02,0.005,0.015,32652,1.20.5
Java,0.81,0.01,0.8,86156,18
C#,1.82,0.011,1.809,140456,6.0.2
Lua,0.0,0.002,-0.002,3656,5.4
Total (7),3.564,0.044,3.446,451524,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,2.26,2.223,0.037,8560,3.10.4
C++,0.99,0.124,0.866,67524,11.2.0
Javascript,0.19,0.112,0.078,36516,17.9.0
Typescript,0.26,0.223,0.037,36144,1.20.5
Java,1.7,0.106,1.594,85000,18
C#,2.7,0.092,2.608,144856,6.0.2
Lua,0.84,0.0,0.84,3632,5.4
Total (7),2.735,2.881,6.059,382232,####

Language,Total time (s),Execution time (s),Compilation / Interpretation time (s),Peak Memory usage (kB),Version
Python,0.11,0.008,0.102,65952,3.8.13
C++,0.86,0.0,0.86,86288,11.2.0
Javascript,0.11,0.026,0.084,36632,17.9.0
Typescript,0.06,0.006,0.054,32048,1.20.5
Java,1.22,0.011,1.209,81452,18
C#,2.14,0.011,2.129,132128,6.0.2
Lua,0.03,0.0,0.03,3548,5.4
Total (7),2.168,0.063,4.467,438048,####

